unit_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
37,1,0.0035,0.0001,100.0,518.67,642.5,1586.54,1404.33,14.62,21.61,553.48,2388.04,9045.66,1.3,47.35,521.5,2388.09,8127.28,8.4529,0.03,392,2388,100.0,39.11,23.4308
37,2,-0.0017,0.0001,100.0,518.67,642.92,1588.48,1405.62,14.62,21.61,553.6,2388.07,9048.59,1.3,47.43,521.95,2388.09,8126.1,8.3788,0.03,392,2388,100.0,38.86,23.3651
37,3,0.0006,0.0002,100.0,518.67,642.98,1587.26,1407.49,14.62,21.61,553.89,2388.14,9048.71,1.3,47.4,522.06,2388.1,8125.95,8.4155,0.03,392,2388,100.0,38.96,23.3742
37,4,-0.0016,-0.0005,100.0,518.67,641.91,1588.28,1405.6,14.62,21.61,553.74,2388.1,9041.67,1.3,47.41,521.94,2388.12,8122.85,8.4248,0.03,392,2388,100.0,38.93,23.2615
37,5,0.0031,0.0,100.0,518.67,642.73,1589.12,1405.39,14.62,21.61,553.16,2388.1,9046.52,1.3,47.29,521.85,2388.07,8131.29,8.3972,0.03,391,2388,100.0,38.87,23.2821
37,6,0.0012,0.0004,100.0,518.67,641.81,1588.21,1404.35,14.62,21.61,553.36,2388.08,9044.63,1.3,47.39,521.9,2388.13,8129.16,8.4226,0.03,391,2388,100.0,38.87,23.3251
37,7,0.0028,0.0001,100.0,518.67,642.35,1592.92,1401.08,14.62,21.61,554.24,2388.12,9048.44,1.3,47.35,521.9,2388.09,8125.11,8.4142,0.03,391,2388,100.0,38.92,23.3192
37,8,0.0012,-0.0004,100.0,518.67,642.75,1590.43,1414.15,14.62,21.61,554.12,2388.1,9037.8,1.3,47.49,521.8,2388.07,8129.08,8.4259,0.03,390,2388,100.0,38.78,23.3021
37,9,0.0004,-0.0005,100.0,518.67,642.31,1586.53,1402.66,14.62,21.61,553.96,2388.14,9043.44,1.3,47.41,521.87,2388.06,8120.23,8.4134,0.03,393,2388,100.0,39.0,23.2373
37,10,-0.0009,0.0003,100.0,518.67,643.42,1583.09,1403.06,14.62,21.61,553.83,2388.06,9044.81,1.3,47.42,521.19,2388.07,8127.12,8.3981,0.03,393,2388,100.0,39.04,23.3901
